,Ticker,Predicted Outcome,Outcome Certainty,Predicted Return,Recommendation,Previous Close,Predicted Close
0,MSFT,+,0.57798916,0.23944874,Refrain,472.75,473.8819580078125
1,NVDA,-,0.70302117,-0.49188524,Refrain,142.6300048828125,141.9284210205078
2,AAPL,+,0.55709904,0.13374797,Refrain,201.4499969482422,201.7194366455078
3,AMZN,+,0.5172025,0.14200816,Refrain,216.97999572753903,217.2881317138672
4,GOOG,-,0.60394126,-0.08606542,Refrain,177.6300048828125,177.4771270751953
5,META,-,0.5404482,0.09271302,Refrain,694.0599975585938,694.7034301757812
6,AVGO,+,0.77840084,0.9917819,Buy,244.27999877929688,246.70272827148438
7,BRK-B,-,0.551365,0.090011604,Refrain,493.3299865722656,493.7740478515625
8,TSLA,-,0.58409095,-0.58241147,Refrain,308.5799865722656,306.78277587890625
9,WMT,-,0.68341726,-0.20049347,Refrain,97.4499969482422,97.2546157836914
10,JPM,+,0.53518194,0.07861594,Refrain,266.739990234375,266.94970703125
11,V,+,0.5795943,0.021365695,Refrain,366.6600036621094,366.73834228515625
12,LLY,+,0.5440341,-0.18011619,Refrain,773.7100219726562,772.3164672851562
13,MA,+,0.61591727,0.09309467,Refrain,584.3300170898438,584.8739624023438
14,NFLX,+,0.55476606,0.21038137,Refrain,1224.4599609375,1227.0360107421875
