,Ticker,Predicted Return,Return,Previous Close,Predicted Close,Close,Recommended Action
0,APP,1.9312048,1.8711386965199805,571.3099975585938,582.3431396484375,582.0,Buy
1,ORCL,0.83662754,-5.093222056083513,307.8599853515625,310.43560791015625,292.17999267578125,Buy
2,MU,0.82767206,4.4231839538796835,150.57000732421875,151.81622314453125,157.22999572753906,Buy
3,AVGO,0.58262205,0.06673253930888912,359.6300048828125,361.7252807617187,359.8699951171875,Buy
4,IBKR,0.49247402,0.5683621873765476,63.34000015258789,63.65193557739258,63.70000076293945,Buy
5,KKR,0.33861312,-1.1516434950741172,145.00999450683594,145.5010223388672,143.33999633789062,No Action
6,ABBV,0.26147082,-0.8536939752935235,220.22000122070312,220.7958221435547,218.33999633789065,No Action
7,PM,0.20110255,-1.066106820251822,167.89999389648438,168.23765563964844,166.11000061035156,No Action
8,COP,0.19535479,-1.8060097714285739,94.12999725341795,94.31388854980467,92.43000030517578,No Action
9,BRK-B,0.1924422,-0.6379451820997972,496.9100036621094,497.8662414550781,493.739990234375,No Action
10,UNP,0.18592201,-0.5230465002500018,216.0399932861328,216.441650390625,214.91000366210935,No Action
11,TMO,0.1827328,-2.431780411057327,491.4100036621094,492.3079833984375,479.4599914550781,No Action
12,BSX,0.18092665,-1.5621979208619519,104.33999633789062,104.52877044677734,102.70999908447266,No Action
13,CAT,0.18007967,0.03245030582661457,431.3800048828125,432.1568298339844,431.5199890136719,No Action
14,NVDA,0.17953824,0.3668844397986648,177.1699981689453,177.48809814453125,177.82000732421875,No Action
15,LRCX,0.17707808,1.1939758016574098,115.58000183105467,115.78466033935548,116.95999908447266,No Action
16,BLK,0.17409664,-0.9495863990916953,1134.1800537109375,1136.154541015625,1123.4100341796875,No Action
17,CRM,0.1648562,-1.429269242288489,246.27999877929688,246.68600463867188,242.7599945068359,No Action
18,LOW,0.16238186,-0.20925379478362593,272.3999938964844,272.84234619140625,271.8299865722656,No Action
19,HON,0.16063933,-1.7881152238083287,215.30999755859375,215.6558532714844,211.4600067138672,No Action
20,BX,0.15415058,-1.3973423722356548,183.9199981689453,184.20350646972656,181.3500061035156,No Action
21,BKNG,0.15149769,-0.721720185180974,5498.0,5506.32958984375,5458.31982421875,No Action
22,CRWD,0.14746147,0.6276249919371812,433.3800048828125,434.0190734863281,436.1000061035156,No Action
23,TMUS,0.13909602,0.13670899038447093,241.38999938964844,241.7257537841797,241.72000122070312,No Action
24,NKE,0.1388576,-1.789320325966981,74.33000183105469,74.43321228027344,73.0,No Action
25,AMAT,0.13253495,-1.3811289621063705,170.14999389648438,170.37550354003906,167.8000030517578,No Action
26,V,0.13060924,-1.1819842423423932,343.489990234375,343.9385986328125,339.42999267578125,No Action
27,IBM,0.12964232,-1.3890538066880564,257.010009765625,257.34320068359375,253.44000244140625,No Action
28,DASH,0.12682585,-0.849376007664171,260.19000244140625,260.5199890136719,257.9800109863281,No Action
29,CSCO,0.1196392,-1.7137001333594193,67.69000244140625,67.77098846435547,66.52999877929688,No Action
30,PANW,0.11741324,-1.0285930147167721,198.3300018310547,198.5628662109375,196.2899932861328,No Action
31,PEP,0.11596868,-0.485333820271705,144.22999572753906,144.39724731445312,143.52999877929688,No Action
32,DIS,0.115068115,-0.9566131953073986,117.08000183105467,117.21472930908205,115.95999908447266,No Action
33,JPM,0.11330992,0.4418137564805802,305.55999755859375,305.9062194824219,306.9100036621094,No Action
34,DHR,0.1029236,-2.6183646825497786,195.16000366210935,195.36087036132812,190.0500030517578,No Action
35,ISRG,0.10220659,-1.353518338295956,455.8500061035156,456.31591796875,449.6799926757813,No Action
36,HD,0.10100014,-0.17240823843408526,423.4200134277344,423.8476867675781,422.69000244140625,No Action
37,COF,0.10050314,-0.2629871097072578,224.3500061035156,224.5754852294922,223.7599945068359,No Action
38,MA,0.09773129,-1.41321278009221,588.72998046875,589.3053588867188,580.4099731445312,No Action
39,AMZN,0.097518295,-0.7827802024989561,229.9499969482422,230.1742248535156,228.1499938964844,No Action
40,COST,0.097303554,0.3712478287967391,964.3200073242188,965.25830078125,967.9000244140624,No Action
41,AXP,0.09572106,-1.2176635723432083,329.32000732421875,329.63525390625,325.30999755859375,No Action
42,TXN,0.08894581,-0.9492812270466389,184.3500061035156,184.51397705078125,182.6000061035156,No Action
43,PFE,0.08872145,-3.982299866500927,24.86000061035156,24.882055282592773,23.8700008392334,No Action
44,C,0.08712306,0.6274061409600407,98.81999969482422,98.90608978271484,99.44000244140624,No Action
45,MCD,0.08587987,-0.982394336234993,308.42999267578125,308.6948547363281,305.3999938964844,No Action
46,WFC,0.0800588,0.2584604116586453,81.25,81.31504821777344,81.45999908447266,No Action
47,ADP,0.07623962,-1.5199808065803233,298.0299987792969,298.2572021484375,293.5,No Action
48,RTX,0.075394034,-1.1417620441841914,157.64999389648438,157.76885986328125,155.85000610351562,No Action
49,MSFT,0.0734942,1.7744124783092063,501.010009765625,501.3782043457031,509.8999938964844,No Action
50,LLY,0.0728703,-0.11768321441265606,756.280029296875,756.8311767578125,755.3900146484375,No Action
51,DE,0.06493291,-1.2487893624147262,476.4599914550781,476.7693786621094,470.510009765625,No Action
52,SPGI,0.064091325,-1.2071638750942082,550.8800048828125,551.2330322265625,544.22998046875,No Action
53,TJX,0.06374199,-0.958606891971181,140.8300018310547,140.91976928710938,139.47999572753906,No Action
54,BAC,0.059599936,-0.3349717614685943,50.75,50.780250549316406,50.58000183105469,No Action
55,CMCSA,0.05512841,-1.0179644822005507,33.400001525878906,33.41841506958008,33.060001373291016,No Action
56,MRK,0.05423082,-2.748096212980078,85.1500015258789,85.19617462158203,82.80999755859375,No Action
57,LMT,0.04996972,0.12321002670945269,470.7300109863281,470.9652404785156,471.30999755859375,No Action
58,KO,0.049107376,-0.9021008364013983,67.62000274658203,67.65320587158203,67.01000213623047,No Action
59,MO,0.045279972,0.43701162275473493,66.36000061035156,66.39004516601562,66.6500015258789,No Action
60,WELL,0.043199033,0.39176331532444486,168.47000122070312,168.54278564453125,169.1300048828125,No Action
61,QCOM,0.04279723,0.19813468831813008,161.50999450683594,161.57911682128906,161.8300018310547,No Action
62,MS,0.04105474,-0.05751299868854698,156.47999572753906,156.5442352294922,156.38999938964844,No Action
63,AAPL,0.039479926,1.7562963814985233,230.02999877929688,230.12081909179688,234.07000732421875,No Action
64,GS,0.03363597,-0.5951069828333377,784.72998046875,784.9939575195312,780.0599975585938,No Action
65,GILD,0.033355698,-2.8084146796644838,117.86000061035156,117.8993148803711,114.5500030517578,No Action
66,INTU,0.032612514,-2.1937246118078457,660.52001953125,660.7354736328125,646.030029296875,No Action
67,PGR,0.028513083,-0.20900493009751164,248.8000030517578,248.87094116210935,248.27999877929688,No Action
68,NOW,0.022241982,-0.9933076515763584,938.280029296875,938.48876953125,928.9600219726562,No Action
69,INTC,0.021935606,-2.1535988358430735,24.61000061035156,24.615398406982425,24.079999923706055,No Action
70,NEE,0.021731405,0.4486815706582714,71.31999969482422,71.33550262451172,71.63999938964844,No Action
71,GE,0.018704396,0.04617306575500635,281.55999755859375,281.6126708984375,281.69000244140625,No Action
72,META,0.015250937,0.6245841375575933,750.9000244140625,751.0145263671875,755.5900268554688,No Action
73,SYK,0.014642249,-1.4017881342754612,388.7900085449219,388.846923828125,383.3399963378906,No Action
74,UNH,0.01415832,-0.3110702840712798,353.6099853515625,353.6600646972656,352.510009765625,No Action
75,KLAC,0.005930005,0.49411955733607016,959.280029296875,959.3368530273438,964.02001953125,No Action
76,XOM,-0.003809511,0.017838659327451545,112.13999938964844,112.13572692871094,112.16000366210938,No Action
77,AMGN,-0.011204204,-2.2424207164188137,282.7300109863281,282.6983337402344,276.3900146484375,No Action
78,ADI,-0.011978294,-1.22059245578785,248.2400054931641,248.21026611328125,245.2100067138672,No Action
79,PG,-0.013628465,-0.4601972917213315,158.6300048828125,158.60838317871094,157.89999389648438,No Action
